"sample_name","pH"
"anoxia_001",5.1
"anoxia_002",5.61
"anoxia_003",5.66
"anoxia_004",5.71
"anoxia_005",5.74
"anoxia_006",5.28
"anoxia_007",5.19
"anoxia_008",4.97
"anoxia_009",4.99
"anoxia_010",5.05
"anoxia_011",6.09
"anoxia_012",6.05
"anoxia_013",6.53
"anoxia_014",6.53
"anoxia_015",6.35
"anoxia_016",5.81
"anoxia_017",5.93
"anoxia_018",5.77
"anoxia_019",5.62
"anoxia_020",5.69
"anoxia_021",4.64
"anoxia_022",6.1
"anoxia_023",6.24
"anoxia_024",6.31
"anoxia_025",6.36
"anoxia_026",6.41
"anoxia_027",5.24
"anoxia_028",5.06
"anoxia_029",4.91
"anoxia_030",4.44
"anoxia_031",5.38
"anoxia_032",6.92
"anoxia_033",7.08
"anoxia_034",7.11
"anoxia_035",7.89
"anoxia_036",7.42
"anoxia_037",6.69
"anoxia_038",6.48
"anoxia_039",6.41
"anoxia_040",6.35
"anoxia_041",6.23
"anoxia_042",4.95
"anoxia_043",6.47
"anoxia_044",6.43
"anoxia_045",6.46
"anoxia_046",6.43
"anoxia_047",6.29
"anoxia_048",5.55
"anoxia_049",5.16
"anoxia_050",5.06
"anoxia_051",5.44
"anoxia_052",5.45
"anoxia_053",6.79
"anoxia_054",6.89
"anoxia_055",6.8
"anoxia_056",6.8
"anoxia_057",6.95
"anoxia_058",6.46
"anoxia_059",6.26
"anoxia_060",6.31
"anoxia_061",6.17
"anoxia_062",6.19
"anoxia_063",5.1
"anoxia_064",7.09
"anoxia_065",7.2
"anoxia_066",7.3
"anoxia_067",7.3
"anoxia_068",7.29
"anoxia_069",6.33
"anoxia_070",5.27
"anoxia_071",5.3
"anoxia_072",5.7
"anoxia_073",5.62
"anoxia_074",7.59
"anoxia_075",8.07
"anoxia_076",7.86
"anoxia_077",7.84
"anoxia_078",7.76
"anoxia_079",7.31
"anoxia_080",7.18
"anoxia_081",7.15
"anoxia_082",6.99
"anoxia_083",7.01
"anoxia_084",5.51
