"sample_name","site","location","medium","timepoint"
"anoxia_001","OWC","upland-A","MQ-water","time-zero"
"anoxia_002","OWC","upland-A","MQ-water","time-zero"
"anoxia_003","OWC","upland-A","MQ-water","time-zero"
"anoxia_004","OWC","upland-A","MQ-water","time-zero"
"anoxia_005","OWC","upland-A","MQ-water","time-zero"
"anoxia_006","OWC","upland-B","MQ-water","time-zero"
"anoxia_007","OWC","upland-B","MQ-water","time-zero"
"anoxia_008","OWC","upland-B","MQ-water","time-zero"
"anoxia_009","OWC","upland-B","MQ-water","time-zero"
"anoxia_010","OWC","upland-B","MQ-water","time-zero"
"anoxia_011","OWC","transition-A","MQ-water","time-zero"
"anoxia_012","OWC","transition-A","MQ-water","time-zero"
"anoxia_013","OWC","transition-A","MQ-water","time-zero"
"anoxia_014","OWC","transition-A","MQ-water","time-zero"
"anoxia_015","OWC","transition-A","MQ-water","time-zero"
"anoxia_016","OWC","wetland-A","MQ-water","time-zero"
"anoxia_017","OWC","wetland-A","MQ-water","time-zero"
"anoxia_018","OWC","wetland-A","MQ-water","time-zero"
"anoxia_019","OWC","wetland-A","MQ-water","time-zero"
"anoxia_020","OWC","wetland-A","MQ-water","time-zero"
"anoxia_021","OWC","blank-filter","MQ-water","time-zero"
"anoxia_022","OWC","upland-A","MQ-water","12-hour"
"anoxia_023","OWC","upland-A","MQ-water","12-hour"
"anoxia_024","OWC","upland-A","MQ-water","12-hour"
"anoxia_025","OWC","upland-A","MQ-water","12-hour"
"anoxia_026","OWC","upland-A","MQ-water","12-hour"
"anoxia_027","OWC","upland-B","MQ-water","12-hour"
"anoxia_028","OWC","upland-B","MQ-water","12-hour"
"anoxia_029","OWC","upland-B","MQ-water","12-hour"
"anoxia_030","OWC","upland-B","MQ-water","12-hour"
"anoxia_031","OWC","upland-B","MQ-water","12-hour"
"anoxia_032","OWC","transition-A","MQ-water","12-hour"
"anoxia_033","OWC","transition-A","MQ-water","12-hour"
"anoxia_034","OWC","transition-A","MQ-water","12-hour"
"anoxia_035","OWC","transition-A","MQ-water","12-hour"
"anoxia_036","OWC","transition-A","MQ-water","12-hour"
"anoxia_037","OWC","wetland-A","MQ-water","12-hour"
"anoxia_038","OWC","wetland-A","MQ-water","12-hour"
"anoxia_039","OWC","wetland-A","MQ-water","12-hour"
"anoxia_040","OWC","wetland-A","MQ-water","12-hour"
"anoxia_041","OWC","wetland-A","MQ-water","12-hour"
"anoxia_042","OWC","blank-filter","MQ-water","12-hour"
"anoxia_043","OWC","upland-A","MQ-water","24-hour"
"anoxia_044","OWC","upland-A","MQ-water","24-hour"
"anoxia_045","OWC","upland-A","MQ-water","24-hour"
"anoxia_046","OWC","upland-A","MQ-water","24-hour"
"anoxia_047","OWC","upland-A","MQ-water","24-hour"
"anoxia_048","OWC","upland-B","MQ-water","24-hour"
"anoxia_049","OWC","upland-B","MQ-water","24-hour"
"anoxia_050","OWC","upland-B","MQ-water","24-hour"
"anoxia_051","OWC","upland-B","MQ-water","24-hour"
"anoxia_052","OWC","upland-B","MQ-water","24-hour"
"anoxia_053","OWC","transition-A","MQ-water","24-hour"
"anoxia_054","OWC","transition-A","MQ-water","24-hour"
"anoxia_055","OWC","transition-A","MQ-water","24-hour"
"anoxia_056","OWC","transition-A","MQ-water","24-hour"
"anoxia_057","OWC","transition-A","MQ-water","24-hour"
"anoxia_058","OWC","wetland-A","MQ-water","24-hour"
"anoxia_059","OWC","wetland-A","MQ-water","24-hour"
"anoxia_060","OWC","wetland-A","MQ-water","24-hour"
"anoxia_061","OWC","wetland-A","MQ-water","24-hour"
"anoxia_062","OWC","wetland-A","MQ-water","24-hour"
"anoxia_063","OWC","blank-filter","MQ-water","24-hour"
"anoxia_064","OWC","upland-A","MQ-water","2-week"
"anoxia_065","OWC","upland-A","MQ-water","2-week"
"anoxia_066","OWC","upland-A","MQ-water","2-week"
"anoxia_067","OWC","upland-A","MQ-water","2-week"
"anoxia_068","OWC","upland-A","MQ-water","2-week"
"anoxia_069","OWC","upland-B","MQ-water","2-week"
"anoxia_070","OWC","upland-B","MQ-water","2-week"
"anoxia_071","OWC","upland-B","MQ-water","2-week"
"anoxia_072","OWC","upland-B","MQ-water","2-week"
"anoxia_073","OWC","upland-B","MQ-water","2-week"
"anoxia_074","OWC","transition-A","MQ-water","2-week"
"anoxia_075","OWC","transition-A","MQ-water","2-week"
"anoxia_076","OWC","transition-A","MQ-water","2-week"
"anoxia_077","OWC","transition-A","MQ-water","2-week"
"anoxia_078","OWC","transition-A","MQ-water","2-week"
"anoxia_079","OWC","wetland-A","MQ-water","2-week"
"anoxia_080","OWC","wetland-A","MQ-water","2-week"
"anoxia_081","OWC","wetland-A","MQ-water","2-week"
"anoxia_082","OWC","wetland-A","MQ-water","2-week"
"anoxia_083","OWC","wetland-A","MQ-water","2-week"
"anoxia_084","OWC","blank-filter","MQ-water","2-week"
